TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Phalaris minor Retz.,Phalaris minor Retz.,Spermatophyta,Monocotyledonae,Poaceae,Phalaris,minor,NA,PHAMIN,1900 - 1940,,,Therophyte,"Annuals, Form - No data available",Present in NZ (wild - naturalised exotic),0.5,,Grass leaved - Flat,165,6,,,,,,Widespread,,,,,,Seed produced,,2.2,1,
Bromus hordeaceus L.,Bromus hordeaceus L.,Spermatophyta,Monocotyledonae,Poaceae,Bromus,hordeaceus,NA,BROHOR,1840 - 1870,,,Therophyte,Annuals,Present in NZ (wild - naturalised exotic),0.55,,Grass leaved - Flat,105,3,,,,,,Widespread,,,,,,Seed produced,,5.5,1.7,2
Persicaria maculosa Gray,Polygonum persicaria L.,Spermatophyta,Dicotyledonae,Polygonaceae,Persicaria,maculosa,NA,POLPER,1870 - 1900,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer",Present in NZ (wild - naturalised exotic),0.55,Deciduous,Broad leaved,100,26,,No,Yes,No data available,,Widespread,Hermaphrodite,12,2,,12,No viability data,"100 - 1,000",2.3,,0
Tripleurospermum inodorum Sch.Bip.,Tripleurospermum inodorum Sch.Bip.,Spermatophyta,Dicotyledonae,Asteraceae,Tripleurospermum,inodorum,NA,TRIINO,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),0.57,Deciduous,Broad leaved,83,35,,No,No,,No,,Hermaphrodite,2,2,,,No viability data,,2,,0
Hordeum vulgare subsp. distichon (L.) Körn.,Hordeum distichon L.,Spermatophyta,Monocotyledonae,Poaceae,Hordeum,vulgare,NA,HORDIS,1870 - 1900,,,Therophyte,"Annuals, Form - erect",Present in NZ (wild - naturalised exotic),0.6,,Grass leaved - Flat,200,9,,,,,,Locally common,,,,,,Seed produced,,10,2.5,
Sisymbrium officinale (L.) Scop.,Sisymbrium officinale (L.) Scop.,Spermatophyta,Dicotyledonae,Brassicaceae,Sisymbrium,officinale,NA,SISOFF,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),0.6,Deciduous,Broad leaved,160,55,,No,No,,No,Widespread,Hermaphrodite,4,13,2,4,No viability data,,1,,0
Sisymbrium orientale L.,Sisymbrium orientale L.,Spermatophyta,Dicotyledonae,Brassicaceae,Sisymbrium,orientale,NA,SISORI,1900 - 1940,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),0.6,Deciduous,Broad leaved,75,50,,No,No,,No,,,5,80,1,5,No viability data,,1,,0
Triticum aestivum L.,Triticum aestivum L.,Spermatophyta,Dicotyledonae,Poaceae,Triticum,aestivum,NA,TRIAES,1840 - 1870,,,Therophyte,"Annuals, Form - erect",Present in NZ (wild - naturalised exotic),0.6,,Grass leaved - Flat,170,7,,,,,,Scattered,,,,,,Seed produced,,7.2,3.6,
Helminthotheca echioides (L.) Holub,Picris echioides L.,Spermatophyta,Dicotyledonae,Asteraceae,Helminthotheca,echioides,NA,HELECH,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),0.65,Deciduous,Broad leaved,140,28,,Yes,No,No,No,,Hermaphrodite,3,3,3,3,No viability data,"1,000 - 10,000",2.7,,2
Galium aparine L.,Galium aparine L.,Spermatophyta,Dicotyledonae,Rubiaceae,Galium,aparine,NA,GALAPA,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - ascending",Present in NZ (wild - naturalised exotic),0.7,Deciduous,Broad leaved,35,5,,Yes,No,Yes,No,Widespread,Hermaphrodite,9,3,,,High viability,"100 - 1,000",2.3,,10
Vicia sativa L.,Vicia sativa L.,Spermatophyta,Dicotyledonae,Fabaceae,Vicia,sativa,NA,VICSAT,1840 - 1870,Low,Therophyte,Therophyte,"Vines, Tendril climbers",Present in NZ (wild - naturalised exotic),0.7,Deciduous,Broad leaved,20,,,No,No,Yes,Yes,Widespread,Hermaphrodite,11,45,45,,No viability data,"100 - 1,000",4,,0
Carduus pycnocephalus L.,Carduus pycnocephalus L.,Spermatophyta,Dicotyledonae,Asteraceae,Carduus,pycnocephalus,NA,CARPYC,1870 - 1900,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - spring-flush/ow",Present in NZ (wild - naturalised exotic),0.8,Deciduous,Broad leaved,200,100,,Yes,No,No,No,Widespread,Hermaphrodite,4,4,2,4,No viability data,"1,000 - 10,000",3.75,1.75,
Carduus tenuiflorus Curtis,Carduus tenuiflorus Curtis,Spermatophyta,Dicotyledonae,Asteraceae,Carduus,tenuiflorus,NA,CARTEN,1900 - 1940,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - spring-flush/ow",Present in NZ (wild - naturalised exotic),0.8,Deciduous,Broad leaved,200,100,,Yes,No,Yes,No,Widespread,Hermaphrodite,2,4,2,4,No viability data,"1,000 - 10,000",3.75,1.75,3
Conyza bonariensis (L.) Cronquist,Conyza bonariensis (L.) Cronquist,Spermatophyta,Dicotyledonae,Asteraceae,Conyza,bonariensis,NA,CONBON,1870 - 1900,Low,,Therophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),0.8,Semi-evergreen,Broad leaved,70,5,,No,No,Yes,No,Widespread,Hermaphrodite,6,2,,,No viability data,,,,
Linum bienne Mill.,Linum bienne Mill.,Spermatophyta,Dicotyledonae,Linaceae,Linum,bienne,NA,LINBIE,1840 - 1870,Low,Therophyte,Therophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.8,Evergreen,Broad leaved,12,,,No,No,No data available,No,Widespread,Hermaphrodite,6,6,6,,No viability data,,3,,1
Sonchus oleraceus L.,Sonchus oleraceus L.,Spermatophyta,Dicotyledonae,Asteraceae,Sonchus,oleraceus,NA,SONOLE,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - all seasons/ow",Present in NZ (wild - naturalised exotic),0.85,Deciduous,Broad leaved,150,70,0.12,No,No,Yes,No,Widespread,Hermaphrodite,3,3,1,3,High viability,"1,000 - 10,000",3.2,,0
Avena fatua L.,Avena fatua L.,Spermatophyta,Monocotyledonae,Poaceae,Avena,fatua,NA,AVEFAT,1870 - 1900,,,Therophyte,"Annuals, Form - erect",Present in NZ (wild - naturalised exotic),1,,Grass leaved - Flat,330,10,,,,,,,,,,,,Seed produced,,7,2,14
Chenopodium album L.,Chenopodium album L.,Spermatophyta,Dicotyledonae,Amaranthaceae,Chenopodium,album,NA,CHEALB,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer",Present in NZ (wild - naturalised exotic),1,Deciduous,Broad leaved,95,25,0.12,No,Yes,Yes,No,Widespread,Hermaphrodite,6,,,,No viability data,"1,000 - 10,000",,1.3,0
Lactuca serriola L.,Lactuca serriola L.,Spermatophyta,Dicotyledonae,Asteraceae,Lactuca,serriola,NA,LACSER,1900 - 1940,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - all seasons/ow",Present in NZ (wild - naturalised exotic),1,Deciduous,Broad leaved,175,70,,No,No,Yes,No,Widespread,Hermaphrodite,3,3,,3,No viability data,,2.8,,0
Malva linnaei M.F.Ray,Lavatera cretica L.,Spermatophyta,Dicotyledonae,Malvaceae,Malva,linnaei,NA,MALLIN,1900 - 1940,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),1,Deciduous,Broad leaved,150,75,,No,No,,No,Widespread,Hermaphrodite,8,,,,No viability data,,,,
Secale cereale L.,Secale cereale L.,Spermatophyta,Monocotyledonae,Poaceae,Secale,cereale,NA,SECCER,1940 - 1970,,,Therophyte,"Annuals, Form - erect",Present in NZ (wild - naturalised exotic),1,,Grass leaved - Flat,175,11,,,,,,Scattered,,,,,,Seed produced,,7,2.5,
Silybum marianum (L.) Gaertn.,Silybum marianum (L.) Gaertn.,Spermatophyta,Dicotyledonae,Asteraceae,Silybum,marianum,NA,SILMAR,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),1.25,Deciduous,Broad leaved,400,200,,Yes,Yes,,No,Widespread,Dioecious,3,6,3,4,No viability data,,,,
Amaranthus deflexus L.,Amaranthus deflexus L.,Spermatophyta,Dicotyledonae,Amaranthaceae,Amaranthus,deflexus,NA,AMADEF,1900 - 1940,Low,,Therophyte,"Annuals, Form - erect, Phenology - summer",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,40,22,,No,No,,No,Locally common,Monoecious,,,,,Seed produced,"1,000 - 10,000",1,,
Amaranthus powellii S.Watson,Amaranthus powellii S.Watson,Spermatophyta,Dicotyledonae,Amaranthaceae,Amaranthus,powellii,NA,AMAPOW,1870 - 1900,Low,,Therophyte,"Annuals, Form - erect, Phenology - summer",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,135,40,,,Yes,,Yes,,,3,,,,No viability data,,,1.25,
Arctotheca calendula (L.) Levyns,Arctotheca calendula (L.) Levyns,Spermatophyta,Dicotyledonae,Asteraceae,Arctotheca,calendula,NA,ARCCAL,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - spring-flush/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,170,30,,,Yes,,,,Hermaphrodite,3,2,,7,No viability data,,,,
Brassica rapa L.,Brassica rapa L.,Spermatophyta,Dicotyledonae,Brassicaceae,Brassica,rapa,NA,BRARAP,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - all seasons/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,200,75,,,Yes,,,Widespread,,6,50,4,6,No viability data,,1.8,1.25,1
Bupleurum tenuissimum L.,Bupleurum tenuissimum L.,Spermatophyta,Dicotyledonae,Apiaceae,Bupleurum,tenuissimum,NA,BUPTEN,1900 - 1940,Low,Therophyte,Therophyte,"Annuals, Form - erect",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,,,,No,No,,,Scattered,Hermaphrodite,,2,,,Seed produced,,1.5,,
Chenopodium murale L.,Chenopodium murale L.,Spermatophyta,Dicotyledonae,Amaranthaceae,Chenopodium,murale,NA,CHEMUR,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,,40,,No,No,,,Widespread,Monoecious,6,,,,No viability data,,1.3,1.3,
Fallopia convolvulus (L.) Á.Löve,Fallopia convolvulus (L.) Á.Löve,Spermatophyta,Dicotyledonae,Polygonaceae,Fallopia,convolvulus,NA,FALCON,1870 - 1900,,,Therophyte,"Vines, Stem climbers",Present in NZ (wild - naturalised exotic),,,Broad leaved,50,35,,,,,,Widespread,,,,,,No viability data,,3,,1
Galium divaricatum Lam.,Galium divaricatum Lam.,Spermatophyta,Dicotyledonae,Rubiaceae,Galium,divaricatum,NA,GALDIV,1870 - 1900,Low,,Therophyte,"Annuals, Form - erect, Phenology - all seasons/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,6,1,,Yes,No,Yes,No,Widespread,,6,1,1,,No viability data,"100 - 1,000",,,
Geranium pusillum L.,Geranium pusillum L.,Spermatophyta,Dicotyledonae,Geraniaceae,Geranium,pusillum,NA,GERPUS,1900 - 1940,,Therophyte,Therophyte,"Annuals, Form - erect",Present in NZ (wild - naturalised exotic),,,Broad leaved,,30,,,,,,Scattered,,5,2,,,Seed produced,,,,0
Malva nicaeensis All.,Malva nicaeensis All.,Spermatophyta,Dicotyledonae,Malvaceae,Malva,nicaeensis,NA,MALNIC,1900 - 1940,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,150,80,,No,No,,No,Widespread,Hermaphrodite,10,,,,No viability data,,,,
Medicago arabica (L.) Huds.,Medicago arabica (L.) Huds.,Spermatophyta,Dicotyledonae,Fabaceae,Medicago,arabica,NA,MEDARA,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - spring-flush/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,15,,,Yes,No,,Yes,Locally common,Hermaphrodite,8,,5,,No viability data,"100 - 1,000",3,,2
Melilotus indicus (L.) All.,Melilotus indicus (L.) All.,Spermatophyta,Dicotyledonae,Fabaceae,Melilotus,indicus,NA,MELIND,1870 - 1900,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - spring-flush/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,30,,,No,Yes,Yes,Yes,Locally common,,10,3,3,,No viability data,"1,000 - 10,000",1.75,,
Parietaria debilis G.Forst.,Parietaria debilis G.Forst.,Spermatophyta,Dicotyledonae,Urticaceae,Parietaria,debilis,NA,PARDEB,Not applicable,Low,Therophyte,Therophyte,"Annuals, Form - erect","Present in NZ (wild - non endemic NZ native, extant)",,Semi-evergreen,Broad leaved,40,30,,No,No,Yes,No,Widespread,,,,,,Seed produced,,1.25,,
Pelargonium inodorum Willd.,Pelargonium inodorum Willd.,Spermatophyta,Dicotyledonae,Geraniaceae,Pelargonium,inodorum,NA,PELINO,Not applicable,,,Therophyte,"Annuals, Form - prostrate","Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,135,36,,,,,,,,3,2,,,Seed produced,,1.8,,0
Petroselinum crispum (Mill.) A.W.Hill,Petroselinum crispum (Mill.) A.W.Hill,Spermatophyta,Dicotyledonae,Apiaceae,Petroselinum,crispum,NA,PETCRI,1840 - 1870,Low,Therophyte,Therophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),,,Broad leaved,,,,No,No,Yes,No,Widespread,Hermaphrodite,,,2,,Seed produced,"100 - 1,000",2.5,,
Polygonum aviculare L.,Polygonum aviculare L.,Spermatophyta,Dicotyledonae,Polygonaceae,Polygonum,aviculare,NA,POLAVI,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,35,9,,No,No,Yes,No,Widespread,Hermaphrodite,8,3,,,No viability data,"1,000 - 10,000",2.5,,1
Senecio glomeratus Poir.,Senecio glomeratus Poir.,Spermatophyta,Dicotyledonae,Asteraceae,Senecio,glomeratus,NA,SENGLO,Not applicable,Low,Therophyte,Therophyte,"Annuals, Form - erect","Present in NZ (wild - non endemic NZ native, extant)",,Deciduous,Broad leaved,110,30,,No,No,No data available,No,,Hermaphrodite,5,1,,,Seed produced,,1.5,,0
Senecio minimus Poir.,Senecio minimus Poir.,Spermatophyta,Dicotyledonae,Asteraceae,Senecio,minimus,NA,SENMIN,Not applicable,Low,Therophyte,Therophyte,Annuals,"Present in NZ (wild - non endemic NZ native, extant)",,Deciduous,Broad leaved,100,15,,No,No,No,No,Widespread,,7,2,,3,Seed produced,,2,0.4,0
Senecio wairauensis Belcher,Senecio wairauensis Belcher,Spermatophyta,Dicotyledonae,Asteraceae,Senecio,wairauensis,NA,SENWAI,Not applicable,,Therophyte,Therophyte,"Annuals, Form - erect","Present in NZ (wild - endemic NZ native, extant)",,Deciduous,Broad leaved,100,30,,No,No,,No,Widespread,Hermaphrodite,,,,,Seed produced,,4,,0
Spergularia marina (L.) Griseb.,Spergularia marina (L.) Griseb.,Spermatophyta,Dicotyledonae,Caryophyllaceae,Spergularia,marina,NA,SPEMAR,1900 - 1940,Low,Therophyte,Therophyte,"Annuals, Form - prostrate",Present in NZ (wild - naturalised exotic),,,Broad leaved,6,1,,No,No,No data available,Not applicable,Locally common,Hermaphrodite,4,5,,4,Seed produced,"1,000 - 10,000",0.55,,0
Stellaria parviflora Hook.f.,Stellaria parviflora Hook.f.,Spermatophyta,Dicotyledonae,Caryophyllaceae,Stellaria,parviflora,NA,STEPAR,Not applicable,,,Therophyte,"Annuals, Form - erect","Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,10,8,,,,,,Widespread,Hermaphrodite,3,,,5,Seed produced,,1,,0
Trifolium campestre Schreb.,Trifolium campestre Schreb.,Spermatophyta,Dicotyledonae,Fabaceae,Trifolium,campestre,NA,TRICAM,1840 - 1870,Low,Therophyte,Therophyte,"Annuals, Form - erect, Phenology - spring-flush/ow",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,18,,,,,,,,Hermaphrodite,7,2,,,No viability data,,,1,1
Trifolium ornithopodioides L.,Trifolium ornithopodioides L.,Spermatophyta,Dicotyledonae,Fabaceae,Trifolium,ornithopodioides,NA,TRIORN,1900 - 1940,,,Therophyte,"Annuals, Form - prostrate",Present in NZ (wild - naturalised exotic),,,Broad leaved,30,,,,,,Yes,Locally common,,8,7,,,Seed produced,,,1.5,
Trifolium tomentosum L.,Trifolium tomentosum L.,Spermatophyta,Monocotyledonae,Fabaceae,Trifolium,tomentosum,NA,TRITOM,1900 - 1940,,Therophyte,Therophyte,"Annuals, Form - prostrate",Present in NZ (wild - naturalised exotic),,,Broad leaved,30,,,,,,Yes,,,5,3,,,Seed produced,,,1.5,
Vicia lutea L.,Vicia lutea L.,Spermatophyta,Dicotyledonae,Fabaceae,Vicia,lutea,NA,VICLUT,1900 - 1940,,Therophyte,Therophyte,"Annuals, Form - prostrate",Present in NZ (wild - naturalised exotic),,,Broad leaved,,,,,,,Yes,,,2,32,,,Seed produced,,,,97
Puccinellia walkeri (Kirk) Allan,Puccinellia walkeri (Kirk) Allan,Spermatophyta,Monocotyledonae,Poaceae,Puccinellia,walkeri,NA,PUCWAL,Not applicable,,,,<null>,"Present in NZ (wild - endemic NZ native, extant)",0.3,,Grass leaved - Folded,150,8,,,,,,Scattered,,,,,,No viability data,,2.4,0.6,
Lagurus ovatus L.,Lagurus ovatus L.,Spermatophyta,Monocotyledonae,Poaceae,Lagurus,ovatus,NA,LAGOVA,1870 - 1900,,,,"Annuals, Form - erect",Present in NZ (wild - naturalised exotic),0.43,,Grass leaved - Flat,105,7,,,,,,Locally common,,,,,,Seed produced,,2.1,0.6,0
Bromus sterilis L.,Bromus sterilis L.,Spermatophyta,Monocotyledonae,Poaceae,Bromus,sterilis,NA,BROSTE,1840 - 1870,,,,<null>,Present in NZ (wild - naturalised exotic),0.5,,Grass leaved - Flat,155,4,,,,,,,,,,,,Seed produced,,10,1.4,
Phleum pratense L.,Phleum pratense L.,Spermatophyta,Monocotyledonae,Poaceae,Phleum,pratense,NA,PHLPRA,1840 - 1870,,,,<null>,Present in NZ (wild - naturalised exotic),0.7,,Grass leaved - Flat,130,4,,,,,,Scattered,,4,,,,Seed produced,,1,,0
Acacia aneura F. Muell.,Acacia aneura F. Muell.,Spermatophyta,Dicotyledonae,Fabaceae,Acacia,aneura,NA,ACAANE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aciphylla aurea W.R.B.Oliv.,Aciphylla aurea W.R.B.Oliv.,Spermatophyta,Dicotyledonae,Apiaceae,Aciphylla,aurea,NA,ACIAUR,Not applicable,,,,,"Present in NZ (wild - endemic NZ native, extant)",,,,850,,,,,,,Locally common,,,,,,Seed produced,,5,,3
Acrothamnus colensoi (Hook.f.) Quinn,Acrothamnus colensoi (Hook.f.) Quinn,Spermatophyta,Dicotyledonae,Epacridaceae,Acrothamnus,colensoi,NA,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agapanthus praecox subsp. orientalis (F.M.Leight.) F.M.Leight.,Agapanthus praecox subsp. orientalis (F.M.Leight.) F.M.Leight.,Spermatophyta,Monocotyledonae,Alliaceae,Agapanthus,praecox,NA,AGAPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis muelleriana Vickery ,Agrostis muelleriana Vickery ,Spermatophyta,Monocotyledonae,Poaceae,Agrostis,muelleriana,NA,AGRMUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alectryon excelsus Gaertn.,Alectryon excelsus Gaertn.,Spermatophyta,Dicotyledonae,Sapindaceae,Alectryon,excelsus,NA,ALEEXC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaphalioides bellidioides (G.Forst.) Glenny,Anaphalioides bellidioides (G.Forst.) Glenny,Spermatophyta,Dicotyledonae,Asteraceae,Anaphalioides,bellidioides,NA,HELBEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anogramma leptophylla (L.) Link,Anogramma leptophylla (L.) Link,Pteridophyta,Pteridopsida,Pteridaceae,Anogramma,leptophylla,NA,ANOLEP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphanes inexspectata W.Lippert,Aphanes inexspectata W.Lippert,Spermatophyta,Dicotyledonae,Rosaceae,Aphanes,inexspectata,NA,APHINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphanes spp. L.,Aphanes spp. L.,Spermatophyta,Dicotyledonae,Rosaceae,Aphanes,spp.,NA,APHANE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apium prostratum Labill. ex Vent.,Apium prostratum Labill. ex Vent.,Spermatophyta,Dicotyledonae,Apiaceae,Apium,prostratum,NA,APIPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctotis spp. L.,Arctotis spp. L.,Spermatophyta,Dicotyledonae,Asteraceae,Arctotis,spp.,NA,ARCTOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthropodium candidum Raoul,Arthropodium candidum Raoul,Spermatophyta,Monocotyledonae,Anthericaceae,Arthropodium,candidum,NA,ARTCAN,Not applicable,,,,<null>,"Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,200,7,,,,,,,,3,4,3,2,Seed produced,,1.4,,0
Asplenium appendiculatum (Labill.) C. Presl,Asplenium appendiculatum (Labill.) C. Presl,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,appendiculatum,NA,ASPTER,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium flabellifolium Cav.,Asplenium flabellifolium Cav.,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,flabellifolium,NA,ASPFLB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium flaccidum G.Forst.,Asplenium flaccidum G.Forst.,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,flaccidum,NA,ASPFLA,Not applicable,High,,,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,680,150,,No,,,,Widespread,Not applicable,,,,,Seed produced,,,,
Asplenium gracillimum Colenso,Asplenium gracillimum Colenso,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,gracillimum,NA,ASPGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium hookerianum Colenso,Asplenium hookerianum Colenso,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,hookerianum,NA,ASPHOO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium richardii (Hook.f.) Hook.f.,Asplenium richardii (Hook.f.) Hook.f.,Pteridophyta,Pteridopsida,Aspleniaceae,Asplenium,richardii,NA,ASPRIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astelia fragrans Colenso,Astelia fragrans Colenso,Spermatophyta,Monocotyledonae,Asteliaceae,Astelia,fragrans,NA,ASTFRA,Not applicable,,,,<null>,"Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,1250,50,,,No,Yes,,Widespread,Dioecious,2,7,,6,Seed produced,,,,4
Atriplex prostrata Boucher ex DC.,Atriplex prostrata Boucher ex DC.,Spermatophyta,Dicotyledonae,Chenopodiaceae,Atriplex,prostrata,NA,ATRPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrostipa nodosa (S.T.Blake) S.W.L.Jacobs & J.Everett,Austrostipa nodosa (S.T.Blake) S.W.L.Jacobs & J.Everett,Spermatophyta,Monocotyledonae,Poaceae,Austrostipa,nodosa,NA,AUSNOD,1900 - 1940,,,,<null>,Present in NZ (wild - naturalised exotic),,,,,,,,,,,,,,,,,,,,,
Blechnum blechnoides (Bory) Keyserl.,Blechnum blechnoides (Bory) Keyserl.,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,blechnoides,NA,BLEBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum chambersii L.,Blechnum chambersii L.,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,chambersii,NA,BLECHA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum colensoi (Hook.f. in Hook.) N.A.Wakef.,Blechnum colensoi (Hook.f. in Hook.) N.A.Wakef.,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,colensoi,NA,BLECOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum discolor (G.Forst.) Keyserl.,Blechnum discolor (G.Forst.) Keyserl.,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,discolor,NA,BLEDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum fluviatile (R.Br.) Lowe ex Salomon,Blechnum fluviatile (R.Br.) Lowe ex Salomon,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,fluviatile,NA,BLEFLU,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum montanum T.C.Chambers & P.A.Farrant,Blechnum montanum T.C.Chambers & P.A.Farrant,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,montanum,NA,BLEMON,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum novae-zelandiae T.C.Chambers & P.A.Farrant,Blechnum novae-zelandiae T.C.Chambers & P.A.Farrant,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,novae-zelandiae,NA,BLENOV,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum penna-marina subsp. alpina T.C.Chambers & P.A.Farrant (1996),Blechnum penna-marina subsp. alpina T.C.Chambers & P.A.Farrant (1996),Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,penna-marina,NA,BLECAP,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum procerum (G.Forst.) Sw.,Blechnum procerum (G.Forst.) Sw.,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,procerum,NA,BLEPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum spp. L.,Blechnum spp. L.,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,spp.,NA,BLECHN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blechnum vulcanicum (Blume) Kuhn,Blechnum vulcanicum (Blume) Kuhn,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,vulcanicum,NA,BLEVUL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachyglottis lagopus (Raoul) B.Nord.,Brachyglottis lagopus (Raoul) B.Nord.,Spermatophyta,Monocotyledonae,Asteraceae,Brachyglottis,lagopus,NA,BRALAG,Not applicable,,,,Herbaceous perennials,"Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,88,65,,,,,,,,4,,,2,Seed produced,,6,,0
